practice,53,211.50013914958657,109.47824463057695,2,5,4,3,14,2,12,2,0,189,4,true
qid-20,61,180.156807513357,63.828371840151846,0,9,9,3,21,0,21,2,0,189,2,true
qid-4,139,264.2158491423538,128.3948807839968,0,15,7,13,35,0,35,16,0,147,38,false
qid-36,122,254.85863779724093,150.67692225076985,2,15,9,16,42,2,40,32,0,183,8,true
qid-49,69,230.13363259964004,154.7595848073573,0,4,5,3,12,0,12,9,0,162,33,false
qid-22,39,139.55099225978077,92.59123031886566,0,7,5,1,13,0,13,0,0,179,138,false
qid-30,73,204.64909936750414,193.50739428263142,0,3,4,2,9,0,9,15,0,40,65,false
qid-29,100,180.3652077537207,159.35148152068632,0,9,8,4,21,0,21,16,0,168,30,true
qid-27,88,142.10191104993172,200.01984424071208,0,5,3,0,8,0,8,41,0,182,50,false
qid-25,102,246.1640503716175,94.13656426406509,3,4,1,0,8,3,5,22,0,117,162,true
qid-11,86,280.12809337676765,176.5351352252352,2,6,0,0,8,2,6,34,0,133,110,false
qid-26,56,277.89254406156294,250.3068071966688,4,4,1,0,9,4,5,9,0,198,12,true
qid-35,106,338.554691733318,313.6586417150109,0,6,3,0,9,0,9,20,0,9,139,false
qid-23,89,457.3327080356718,211.10448173313122,2,2,4,0,8,2,6,22,0,117,187,true
qid-28,115,236.0904567521312,215.5078021506615,4,12,1,8,25,4,21,11,0,6,135,false
qid-12,67,168.0085954331188,167.20478592747946,1,13,5,0,19,1,18,16,0,43,138,false
qid-47,64,281.68765906195557,111.52909932273607,1,2,1,0,4,1,3,19,0,31,63,true
qid-48,55,202.88560028618306,142.67808187276475,1,0,0,0,1,1,0,23,0,133,50,true
qid-24,51,264.6558424536656,129.12480184292363,0,1,0,0,1,0,1,20,0,142,32,true
qid-41,30,174.00957623832448,132.0791298795572,3,6,1,0,10,3,7,6,0,138,38,true
qid-46,37,164.74630552717736,185.03651221001473,0,1,4,0,5,0,5,13,0,23,147,false
qid-7,36,188.00848027992015,169.49733334229418,0,2,2,1,5,0,5,13,0,195,6,false
qid-9,34,110.91601511874573,115.0795966987352,0,5,3,0,8,0,8,2,0,154,11,true
qid-10,63,177.11533982333148,174.0756898468161,0,1,12,1,14,0,14,16,0,59,127,false
qid-3,32,182.9697839207127,147.36198694189298,0,3,7,1,11,0,11,6,0,128,40,true
qid-44,37,162.78218947934542,73.88673684264303,0,2,1,0,3,0,3,2,0,119,49,false
qid-6,47,129.45175959062723,89.61488126029292,1,5,1,0,7,1,6,4,0,147,35,true
qid-32,46,93.28629867985234,138.47172808678562,0,4,2,0,6,0,6,9,0,39,117,false
qid-17,42,177.78424323426816,105.59111443469759,0,0,4,1,5,0,5,10,0,55,146,false
qid-42,49,260.1526786545202,121.11930075632515,3,2,2,0,7,3,4,3,0,152,27,false
qid-19,28,158.21073137190967,106.91573329491291,0,6,3,0,9,0,9,3,0,136,41,true
qid-45,35,179.140396666162,98.64915166160318,0,5,4,0,9,0,9,1,0,161,35,false
qid-33,48,216.29883513083664,64.92875315310114,0,7,6,0,13,0,13,0,0,161,23,false
qid-14,39,147.38354198030157,168.81589077605025,0,2,9,0,11,0,11,12,0,175,33,false
qid-1,42,138.25912014457435,97.01179796088086,0,12,3,0,15,0,15,1,0,179,10,true
qid-50,23,95.96866612250759,114.13079236921821,0,2,6,0,8,0,8,3,0,155,34,false
qid-34,53,134.95289946146582,90.11426933218466,0,2,4,0,6,0,6,6,0,176,28,false
qid-15,70,186.14681977506672,86.59152446101679,0,5,4,0,9,0,9,7,0,168,27,false
qid-31,22,100.9678743457891,107.97331484360448,0,1,4,0,5,0,5,3,0,175,19,true
qid-40,37,303.2620978948932,105.51028472252766,1,3,3,0,7,1,6,6,0,32,145,false
qid-2,29,84.58174931962454,76.13270335324493,0,0,10,0,10,0,10,0,0,35,149,false
qid-39,17,120.73342238412371,108.63679396107244,0,0,2,0,2,0,2,1,0,152,26,false
qid-21,17,206.30022496493834,163.39827595721604,0,2,2,0,4,0,4,1,0,50,140,false
qid-8,37,99.74205391841362,59.76861795464723,0,3,9,0,12,0,12,0,0,147,37,false
qid-16,41,145.15935354403857,111.69338144531952,0,3,7,0,10,0,10,9,0,139,19,false
qid-13,27,154.69202138406976,77.29428459907855,0,5,2,0,7,0,7,0,0,183,7,false
qid-43,20,137.6202037173394,92.30507509220465,0,3,0,0,3,0,3,5,0,181,12,false
qid-38,40,94.20508483400563,74.14187500773318,0,0,0,0,0,0,0,9,0,23,153,false
qid-18,18,94.10286024481601,65.88374335509984,0,2,6,0,8,0,8,0,0,21,128,false
qid-37,25,153.0487208552997,74.38677317665409,0,1,5,1,7,0,7,0,0,178,21,false
qid-5,25,139.47561130161057,93.75716969532542,0,2,6,0,8,0,8,5,0,177,13,false
