practice,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-20,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-4,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-36,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-49,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-22,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-30,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-29,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-27,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-25,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-11,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-26,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-35,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
qid-23,144,1296,149.421875,331.015625,135.21875,351.21875,504.609375,662.203125,466.40625,682.40625,504.609375,662.203125,797.59375,1013.59375,504.609375,662.203125,1128.78125,1344.78125,504.609375,662.203125
